,X,Y,ELA,beta,cmb
78234,524490,8584290,524.72998046875,0.006382958213768321,-1.2071876525878906
78235,524490,8585290,524.72998046875,0.006780438991365552,-1.363006591796875
78236,524490,8586290,524.72998046875,0.006795941192629246,-1.3533477783203125
78237,524490,8587290,524.72998046875,0.006680330908553728,-1.4610786437988281
78238,524490,8588290,524.72998046875,0.00678678984432561,-1.5253334045410156
78239,524490,8589290,469.83013916015625,0.0069179108252676765,-0.948399543762207
78240,524490,8590290,469.83013916015625,0.006982622796452024,-1.2379035949707031
78241,524490,8591290,469.83013916015625,0.00698996115736769,-0.06905746459960938
78243,524490,8593290,469.83013916015625,0.0068663431922119595,0.14893341064453125
78265,524490,8615290,517.3424682617188,0.005143840425035271,-1.1010169982910156
78266,524490,8616290,517.3424682617188,0.004814537847028522,-0.9321308135986328
78267,524490,8617290,517.3424682617188,0.004937994675491647,-0.8334493637084961
78268,524490,8618290,533.3441772460938,0.005261391286228098,0.6110496520996094
78269,524490,8619290,548.5177612304688,0.005269234272729928,1.2159805297851562
78270,524490,8620290,556.6679077148438,0.005343572357655408,0.8911552429199219
78296,524490,8646290,548.6283569335938,0.00472071737321699,1.1609268188476562
78297,524490,8647290,548.6283569335938,0.0048679360646384055,0.022527694702148438
78335,524490,8685290,635.2498168945312,0.004200610844161652,0.27404022216796875
78336,524490,8686290,635.2498168945312,0.004006698151405287,-0.008724212646484375
78337,524490,8687290,661.4924926757812,0.004011239907949633,0.5075645446777344
78338,524490,8688290,661.4924926757812,0.004299094249127324,0.025913238525390625
78340,524490,8690290,632.0650024414062,0.004583317186384362,0.18386077880859375
78341,524490,8691290,632.0650024414062,0.004520671982980238,-0.009119033813476562
78342,524490,8692290,632.0650024414062,0.004261418486565286,-0.21619033813476562
78376,524490,8726290,651.1419067382812,0.0034182953756357335,-0.07363033294677734
78377,524490,8727290,651.1419067382812,0.0034182953756357335,-0.6200580596923828
78390,524490,8740290,651.1419067382812,0.004249844444414956,-1.097146987915039
78392,524490,8742290,651.1419067382812,0.004227355967522836,-0.6711440086364746
78394,524490,8744290,690.646240234375,0.004332968549351694,0.2211761474609375
78395,524490,8745290,690.646240234375,0.004206146004885198,-0.5427103042602539
78396,524490,8746290,690.646240234375,0.004143943380710805,-0.326995849609375
78397,524490,8747290,690.646240234375,0.004207171113412294,0.1759624481201172
78398,524490,8748290,690.646240234375,0.004331112447453078,-0.6124839782714844
78400,524490,8750290,690.646240234375,0.004309602846167284,-1.6719207763671875
78462,524490,8812290,555.737060546875,0.0023894535459680314,0.9512825012207031
78463,524490,8813290,555.737060546875,0.0022823785061701946,1.1518821716308594
78464,524490,8814290,555.737060546875,0.0022138984948152367,1.2912826538085938
78465,524490,8815290,555.737060546875,0.002213849934292705,1.2392120361328125
78466,524490,8816290,555.737060546875,0.002261737356562076,1.1941566467285156
78470,524490,8820290,555.737060546875,0.0034092520241761283,1.2330551147460938
78471,524490,8821290,555.737060546875,0.0035192893127531286,1.2352523803710938
78472,524490,8822290,555.737060546875,0.003736698171304359,1.041656494140625
78474,524490,8824290,525.6835327148438,0.004154713919626025,-0.7936925888061523
78476,524490,8826290,525.6835327148438,0.004451456078765319,1.19439697265625
78477,524490,8827290,525.6835327148438,0.004428001919443844,1.572845458984375
78478,524490,8828290,525.6835327148438,0.0044608137725944165,1.3567047119140625
78480,524490,8830290,525.6835327148438,0.004436007012266739,-0.7713794708251953
78482,524490,8832290,480.6209411621094,0.004381095487945462,1.5405807495117188
78483,524490,8833290,480.6209411621094,0.004414034846767635,1.4626922607421875
78484,524490,8834290,480.6209411621094,0.004264258805854547,1.3197288513183594
78485,524490,8835290,480.6209411621094,0.00406761478110983,0.9284400939941406
78486,524490,8836290,480.6209411621094,0.0037038940034561387,0.8707504272460938
78487,524490,8837290,480.6209411621094,0.003928143869320927,0.5662117004394531
78488,524490,8838290,480.6209411621094,0.003928426280143468,0.38054656982421875
78492,524490,8842290,485.3778381347656,0.0038201897357945215,0.04897594451904297
78493,524490,8843290,485.3778381347656,0.0038313787713502995,0.052611351013183594
78494,524490,8844290,463.4301452636719,0.0038042630807282765,0.21428871154785156
78495,524490,8845290,463.4301452636719,0.004114143910691559,0.3264884948730469
78496,524490,8846290,493.2386474609375,0.004001854761206992,0.24324798583984375
78497,524490,8847290,493.2386474609375,0.004176838049296008,0.15775108337402344
78498,524490,8848290,493.2386474609375,0.004256563496627423,0.03301239013671875
78501,524490,8851290,497.6317443847656,0.004238588634007686,-0.07784271240234375
78502,524490,8852290,497.6317443847656,0.0042998488520721734,0.007091522216796875
78503,524490,8853290,505.2249755859375,0.004117243203396169,0.06425285339355469
78504,524490,8854290,505.2249755859375,0.004105589983689297,0.005283355712890625
78505,524490,8855290,511.2568359375,0.0041192689842291675,-0.09489631652832031
78506,524490,8856290,511.2568359375,0.004251792545778313,-0.14364242553710938
78507,524490,8857290,511.2568359375,0.004407045305071002,-0.3005070686340332
78510,524490,8860290,495.4128723144531,0.005415754114043891,-0.8949289321899414
78511,524490,8861290,495.4128723144531,0.005684764930589025,-0.8638887405395508
78720,525490,8520290,477.12457275390625,0.0061834549584480125,-2.7555923461914062
78721,525490,8521290,477.12457275390625,0.005587280686112895,-2.7458953857421875
78727,525490,8527290,469.5716857910156,0.00639070640778622,0.3843841552734375
78728,525490,8528290,469.5716857910156,0.005782437833059676,0.7865409851074219
78729,525490,8529290,469.5716857910156,0.005134746014576331,0.10887527465820312
78730,525490,8530290,469.5716857910156,0.0048502465354993895,-0.3314027786254883
78731,525490,8531290,471.8668518066406,0.004753408194653997,-0.4478745460510254
78732,525490,8532290,423.7395324707031,0.004961571846646443,-0.5894007682800293
78733,525490,8533290,423.7395324707031,0.004917370724534844,-0.6247499883174896
78734,525490,8534290,423.7395324707031,0.004978515643043494,-0.36424827575683594
78735,525490,8535290,423.7395324707031,0.0049799882019597235,-0.04538726806640625
78736,525490,8536290,423.7395324707031,0.004986071149152931,-0.19752120971679688
78737,525490,8537290,423.7395324707031,0.004954530521142781,0.3345527648925781
78738,525490,8538290,423.7395324707031,0.004963572968116178,1.0131378173828125
78739,525490,8539290,436.79254150390625,0.004989167668681116,1.3135757446289062
78740,525490,8540290,436.79254150390625,0.005034579086868963,1.2176971435546875
78741,525490,8541290,436.79254150390625,0.0048147885021546,0.24475860595703125
78756,525490,8556290,425.6261901855469,0.006603340802067612,-2.6482696533203125
78757,525490,8557290,425.6261901855469,0.006693193134528189,-1.6490936279296875
78758,525490,8558290,425.6261901855469,0.006484667557789338,-0.1446065902709961
78759,525490,8559290,425.6261901855469,0.006191433511288569,-0.17151927947998047
78760,525490,8560290,522.8907470703125,0.00601554189685988,-0.061580657958984375
78761,525490,8561290,522.8907470703125,0.005964690654250154,-0.1309490203857422
78762,525490,8562290,522.8907470703125,0.005876993241435543,-0.7217545509338379
78763,525490,8563290,522.8907470703125,0.005837944090989607,-0.5948066711425781
78764,525490,8564290,522.8907470703125,0.00581646922604655,-0.6121692657470703
78765,525490,8565290,522.8907470703125,0.00596734883937753,-0.13359451293945312
78766,525490,8566290,522.8907470703125,0.005919050273360137,-0.09702110290527344
78767,525490,8567290,522.8907470703125,0.005998720729669117,-0.17709732055664062
78768,525490,8568290,522.8907470703125,0.005925557219256636,-0.7858119010925293
78769,525490,8569290,522.8907470703125,0.005733164901319034,-0.9090118408203125
78770,525490,8570290,522.8907470703125,0.005848543113229098,-0.9347457885742188
78771,525490,8571290,522.8907470703125,0.006003596502386455,-0.9879875183105469
78772,525490,8572290,538.9735107421875,0.005911759866859093,-0.18919086456298828
78773,525490,8573290,538.9735107421875,0.00572286457664127,0.36333465576171875
78774,525490,8574290,538.9735107421875,0.005448489080487781,0.5733451843261719
78775,525490,8575290,538.9735107421875,0.0051956673746723905,-0.08469390869140625
78776,525490,8576290,548.7290649414062,0.005014840430200764,-0.701661229133606
78777,525490,8577290,548.7290649414062,0.005035248563733474,-0.8160080909729004
78778,525490,8578290,548.7290649414062,0.005171785042188897,-0.8921451568603516
78779,525490,8579290,548.7290649414062,0.005237925250601068,-0.808844804763794
78780,525490,8580290,532.8051147460938,0.005283525634927031,-0.19547748565673828
78781,525490,8581290,532.8051147460938,0.0055642299015936465,0.06724929809570312
78782,525490,8582290,532.8051147460938,0.0057694196017923855,-0.13778305053710938
78783,525490,8583290,532.8051147460938,0.006056867698870454,-0.8974342346191406
78784,525490,8584290,524.72998046875,0.006446697184378453,-1.0308971405029297
78785,525490,8585290,524.72998046875,0.006933333035649133,-0.2705726623535156
78786,525490,8586290,524.72998046875,0.007015002713936157,-1.1549110412597656
78787,525490,8587290,524.72998046875,0.0069568135841242325,-1.5447463989257812
78788,525490,8588290,524.72998046875,0.007163686827847488,-1.5843391418457031
78815,525490,8615290,517.3424682617188,0.005353314839645599,-1.1585807800292969
78816,525490,8616290,517.3424682617188,0.005103177441069934,-0.885528564453125
78817,525490,8617290,533.3441772460938,0.004979306200962209,-0.7888069152832031
78819,525490,8619290,533.3441772460938,0.005144788612504669,0.3289451599121094
78820,525490,8620290,533.3441772460938,0.00504793323755199,0.08099746704101562
78822,525490,8622290,556.6679077148438,0.0052355764314972264,-1.4155502319335938
78825,525490,8625290,551.7670288085938,0.005362052891377599,1.1568374633789062
78826,525490,8626290,551.7670288085938,0.005533407709879319,0.3432655334472656
78827,525490,8627290,551.7670288085938,0.005180553665100104,-0.10489463806152344
78845,525490,8645290,548.6283569335938,0.00465442227362028,1.147613525390625
78846,525490,8646290,548.6283569335938,0.004495301517266206,0.8823699951171875
78847,525490,8647290,548.6283569335938,0.004626593603485201,0.06486320495605469
78848,525490,8648290,548.6283569335938,0.004626593603485201,-0.8131179809570312
78871,525490,8671290,634.7724609375,0.005100673573567048,0.3175697326660156
78874,525490,8674290,593.9359130859375,0.004960181667032896,0.11583900451660156
78884,525490,8684290,663.8876953125,0.004194209098410845,-0.39863109588623047
78885,525490,8685290,663.8876953125,0.004177329606136667,0.41698455810546875
78886,525490,8686290,663.8876953125,0.00400644807300943,0.0364990234375
78887,525490,8687290,663.8876953125,0.0040059268071729656,0.4074668884277344
78888,525490,8688290,661.4924926757812,0.004299094249127324,0.7176322937011719
78889,525490,8689290,661.4924926757812,0.004444316886545713,0.34984588623046875
78890,525490,8690290,632.0650024414062,0.004583317186384362,-0.39545154571533203
78926,525490,8726290,651.1419067382812,0.0034182953756357335,-0.6609487533569336
78927,525490,8727290,651.1419067382812,0.0034182953756357335,-0.6678234189748764
78928,525490,8728290,651.1419067382812,0.0034182953756357335,-1.0876903533935547
78937,525490,8737290,651.1419067382812,0.004809070918518436,0.2240581512451172
78938,525490,8738290,651.1419067382812,0.004414528177210134,-1.2004776000976562
78940,525490,8740290,651.1419067382812,0.004319118462310047,0.2200946807861328
78941,525490,8741290,651.1419067382812,0.004301522388086811,0.08046817779541016
78942,525490,8742290,651.1419067382812,0.004265733575645863,-0.8657779693603516
78943,525490,8743290,651.1419067382812,0.004372944445028654,-0.3389883041381836
78944,525490,8744290,690.646240234375,0.004230822870183208,-0.5923662036657333
78945,525490,8745290,690.646240234375,0.004193602011227229,-0.9649906158447266
78947,525490,8747290,690.646240234375,0.00430095268434138,0.20171546936035156
78948,525490,8748290,690.646240234375,0.0043595250213501946,-0.3675098419189453
79012,525490,8812290,555.737060546875,0.0020705200367653344,1.1883659362792969
79013,525490,8813290,555.737060546875,0.0020188090064430036,1.3253211975097656
79014,525490,8814290,555.737060546875,0.0019831255972865705,1.3896141052246094
79015,525490,8815290,555.737060546875,0.0020061564947140105,1.3965682983398438
79016,525490,8816290,555.737060546875,0.0020862662609369624,1.43670654296875
79017,525490,8817290,555.737060546875,0.0021114690674585586,1.3815078735351562
79018,525490,8818290,555.737060546875,0.0023877491204244644,1.353118896484375
79019,525490,8819290,555.737060546875,0.002791435807995792,1.3154983520507812
79020,525490,8820290,555.737060546875,0.0033446863199256675,1.2589569091796875
79021,525490,8821290,555.737060546875,0.0034841038774574124,1.2518081665039062
79024,525490,8824290,525.6835327148438,0.0039926614149828,-0.6621999740600586
79026,525490,8826290,525.6835327148438,0.004180374778420495,1.4495773315429688
79027,525490,8827290,525.6835327148438,0.004287940975509057,1.7050094604492188
79028,525490,8828290,525.6835327148438,0.004396283275447608,1.1069526672363281
79029,525490,8829290,525.6835327148438,0.004369583689514385,-0.33704984188079834
79031,525490,8831290,525.6835327148438,0.004330794535763695,1.5138931274414062
79032,525490,8832290,480.6209411621094,0.004284945133047935,1.7458953857421875
79033,525490,8833290,480.6209411621094,0.0043199441559847685,1.5939102172851562
79034,525490,8834290,480.6209411621094,0.004106611443842884,1.5068511962890625
79035,525490,8835290,480.6209411621094,0.0037957856023424024,1.3210487365722656
79036,525490,8836290,480.6209411621094,0.003672642581834647,1.2021942138671875
79037,525490,8837290,480.6209411621094,0.003817692322492925,1.0234832763671875
79038,525490,8838290,480.6209411621094,0.003822789872703188,0.8290977478027344
79039,525490,8839290,480.6209411621094,0.003771812846817268,0.8496894836425781
79040,525490,8840290,485.3778381347656,0.003754197667973431,0.82879638671875
79041,525490,8841290,485.3778381347656,0.0037552774240690923,0.5223579406738281
79042,525490,8842290,485.3778381347656,0.0037400961915293536,0.2396984100341797
79043,525490,8843290,485.3778381347656,0.003764285128807535,0.2142333984375
79044,525490,8844290,485.3778381347656,0.003746890106325526,0.4943275451660156
79045,525490,8845290,463.4301452636719,0.003915057111395739,0.5538253784179688
79046,525490,8846290,493.2386474609375,0.0038846441488830583,0.4687385559082031
79047,525490,8847290,493.2386474609375,0.004071646099258806,0.38671875
79048,525490,8848290,493.2386474609375,0.004162699591596372,0.2908935546875
79050,525490,8850290,497.6317443847656,0.004099808039637788,0.08161735534667969
79051,525490,8851290,497.6317443847656,0.003992967029540154,0.1740589141845703
79052,525490,8852290,497.6317443847656,0.004070342127049134,0.19887161254882812
79053,525490,8853290,505.2249755859375,0.003866969038126431,0.17262840270996094
79054,525490,8854290,511.2568359375,0.0038435841921342757,0.1503620147705078
79055,525490,8855290,511.2568359375,0.0038391859034245693,0.048828125
79056,525490,8856290,511.2568359375,0.003876174610631965,-0.07988643646240234
79057,525490,8857290,511.2568359375,0.003993029892566435,-0.15053319931030273
79060,525490,8860290,495.4128723144531,0.004584664838739716,-0.797968864440918
